grade,subject,chapter_number,chapter_title,mime_type,r2_key,local_file,public_url
12,physics,13,Nuclei,image/jpeg,chapter-covers/grade-12/physics/chapter-13-nuclei.jpg,/Users/srichandrasamanapalli/code/AI TUTOR/chapter-cover-output/chapter-covers/grade-12/physics/chapter-13-nuclei.jpg,https://assets.learneros.me/chapter-covers/grade-12/physics/chapter-13-nuclei.jpg
12,physics,14,"Semiconductor Electronics: Materials, Devices and Simple Circuits",image/jpeg,chapter-covers/grade-12/physics/chapter-14-semiconductor-electronics-materials-devices-and-simple-circuits.jpg,/Users/srichandrasamanapalli/code/AI TUTOR/chapter-cover-output/chapter-covers/grade-12/physics/chapter-14-semiconductor-electronics-materials-devices-and-simple-circuits.jpg,https://assets.learneros.me/chapter-covers/grade-12/physics/chapter-14-semiconductor-electronics-materials-devices-and-simple-circuits.jpg
